__run_id,__done,subject,treatment,iterations,total_cpu_energy,average_cpu_usage,used_memory,used_swap,eb_time,eb_time_subtraction,profiler_time
run_0_repetition_12,DONE,CogVideo,Default Loop,100000,242288.261,7.82725,1902620672,524288,399,401,0.806750059
run_1_repetition_2,DONE,CogVideo,Default Loop,10000000,5044792.161,12.568125,3121192960,524288,16121,16208,16.5388453
run_6_repetition_2,DONE,Sherlock,Loop Unrolling,100000,182974.501,7.707875,1909616640,524288,201,200,0.605902672
run_6_repetition_3,DONE,Sherlock,Loop Unrolling,100000,183413.085,8.43625,1904230400,524288,200,201,0.613563061
run_1_repetition_15,DONE,CogVideo,Default Loop,10000000,4907421.676,12.521625,3122307072,524288,15523,15606,16.01343942
run_0_repetition_3,DONE,CogVideo,Default Loop,100000,246211.192,7.935875,1893527552,524288,400,401,0.814008236
run_5_repetition_11,DONE,Sherlock,Default Loop,10000000,2777732.575,13.07975,4777598976,524288,8559,8604,9.029261589
run_7_repetition_4,DONE,Sherlock,Loop Unrolling,10000000,2291178.415,12.641875,4703948800,524288,6968,7004,7.42104578
run_1_repetition_8,DONE,CogVideo,Default Loop,10000000,5655763.306,12.512625,3100958720,524288,17712,17807,18.24234843
run_2_repetition_2,DONE,CogVideo,Loop Unswitching,100000,249453.329,11.393125,1886031872,524288,399,401,0.802537203
run_5_repetition_8,DONE,Sherlock,Default Loop,10000000,2751719.551,12.682,4713345024,524288,8360,8404,8.816473007
run_5_repetition_13,DONE,Sherlock,Default Loop,10000000,2384013.614,12.705875,4729438208,524288,7166,7204,7.623662233
run_5_repetition_15,DONE,Sherlock,Default Loop,10000000,2454611.964,12.465875,4715634688,524288,7365,7404,7.831735849
run_3_repetition_15,DONE,CogVideo,Loop Unswitching,10000000,11384993.4,12.531125,3114819584,524288,35411,35613,36.05802011
run_3_repetition_7,DONE,CogVideo,Loop Unswitching,10000000,11717161.49,12.5635,3111305216,524288,36222,36416,36.81557465
run_5_repetition_4,DONE,Sherlock,Default Loop,10000000,2495971.977,12.4705,4761735168,524288,7364,7403,7.738797665
run_3_repetition_14,DONE,CogVideo,Loop Unswitching,10000000,11833643.57,12.576375,3103686656,524288,36224,36414,36.81103849
run_3_repetition_12,DONE,CogVideo,Loop Unswitching,10000000,11654729.72,12.563625,3104796672,524288,35424,35613,36.03776312
run_1_repetition_5,DONE,CogVideo,Default Loop,10000000,5273250.992,12.511375,3095719936,524288,15723,15807,16.23608184
run_2_repetition_5,DONE,CogVideo,Loop Unswitching,100000,326565.484,8.828625,1893158912,524288,599,601,0.910422325
run_0_repetition_15,DONE,CogVideo,Default Loop,100000,261848.708,8.013875,1895456768,524288,400,401,0.801614285
run_1_repetition_12,DONE,CogVideo,Default Loop,10000000,11111.94,12.499625,3105550336,524288,15921,16007,16.43307638
run_0_repetition_1,DONE,CogVideo,Default Loop,100000,1386.836,7.854375,1904852992,524288,399,401,0.806001186
run_0_repetition_10,DONE,CogVideo,Default Loop,100000,1979.334,7.929875,1905643520,524288,400,401,0.812180281
run_4_repetition_0,DONE,Sherlock,Default Loop,100000,1927.714,8.15975,1914814464,524288,201,201,0.512713909
run_1_repetition_11,DONE,CogVideo,Default Loop,10000000,76803.229,12.532625,3102883840,524288,17714,17807,18.21850824
run_3_repetition_11,DONE,CogVideo,Loop Unswitching,10000000,214935.837,12.527125,3106533376,524288,35404,35614,36.0403583
run_2_repetition_11,DONE,CogVideo,Loop Unswitching,100000,7435.462,9.545375,1897775104,524288,599,601,1.011207581
run_6_repetition_15,DONE,Sherlock,Loop Unrolling,100000,4906.646,8.3425,1905594368,524288,200,200,0.596987486
run_0_repetition_13,DONE,CogVideo,Default Loop,100000,7134.3,7.70175,1901154304,524288,400,401,0.812653303
run_1_repetition_9,DONE,CogVideo,Default Loop,10000000,161488.582,12.47725,3100475392,524288,15723,15806,16.2182374
run_4_repetition_2,DONE,Sherlock,Default Loop,100000,6612.549,8.79875,1895763968,524288,201,200,0.620346069
